.id,age,smsarank,esr,ftpt79,earnhre,educ,ethrace
1,71,Los Angeles,Housework,Not In Labor Force,,lessHS,whites
1,71,Los Angeles,Housework,Not In Labor Force,,lessHS,whites
1,73,Los Angeles,Other (Includes Retired),Not In Labor Force,,HS,whites
1,56,Los Angeles,Employed-At Work,Employed full-time,700.0,HS,whites
1,87,Los Angeles,Other (Includes Retired),Not In Labor Force,,lessHS,whites
1,54,Los Angeles,Employed-At Work,Employed full-time,,HS,whites
1,23,Los Angeles,Employed-At Work,Employed full-time,1002.0,HS,whites
1,21,Los Angeles,Employed-At Work,Employed full-time,,HS,whites
1,80,Los Angeles,Housework,Not In Labor Force,,HS,whites
1,26,Los Angeles,Employed-At Work,Employed full-time,,HS,whites
1,27,Los Angeles,Housework,Not In Labor Force,,HS,whites
1,51,Los Angeles,Employed-At Work,Employed full-time,,HS,whites
1,54,Los Angeles,Employed-At Work,Employed full-time,,HS,whites
1,25,Los Angeles,Employed-At Work,Employed full-time,,HS,whites
1,17,Los Angeles,School,Not In Labor Force,,lessHS,whites
1,30,Los Angeles,Employed-At Work,Employed full-time,650.0,HS,others
1,65,Los Angeles,Employed-At Work,Employed full-time,895.0,HS,whites
1,26,Los Angeles,Employed-At Work,Employed full-time,,HS,whites
1,52,Los Angeles,Employed-At Work,Employed full-time,,BA,whites
1,41,Los Angeles,Housework,Not In Labor Force,,HS,whites
1,17,Los Angeles,School,Not In Labor Force,,lessHS,whites
1,53,Los Angeles,Employed-At Work,Employed full-time,,BA,whites
1,47,Los Angeles,Employed-Absent,Employed PT,,HS,whites
1,19,Los Angeles,School,Not In Labor Force,,HS,whites
1,41,Los Angeles,Employed-At Work,Employed full-time,,HS,whites
1,42,Los Angeles,Employed-At Work,Employed PT,,HS,whites
1,61,Los Angeles,Housework,Not In Labor Force,,HS,whites
1,54,Los Angeles,Employed-At Work,Employed full-time,,BA,whites
1,71,Los Angeles,Other (Includes Retired),Not In Labor Force,,HS,whites
1,60,Los Angeles,Housework,Not In Labor Force,,HS,whites
1,65,Los Angeles,Other (Includes Retired),Not In Labor Force,,HS,whites
1,61,Los Angeles,Employed-At Work,Employed full-time,,HS,whites
1,61,Los Angeles,Employed-At Work,Employed PT,500.0,HS,whites
1,28,Los Angeles,School,Not In Labor Force,,HS,whites
1,67,Los Angeles,Other (Includes Retired),Not In Labor Force,,lessHS,whites
1,41,Los Angeles,Employed-At Work,Employed full-time,400.0,lessHS,whites
1,71,Los Angeles,Other (Includes Retired),Not In Labor Force,,HS,whites
1,73,Los Angeles,Housework,Not In Labor Force,,HS,whites
1,72,Los Angeles,Housework,Not In Labor Force,,HS,whites
1,53,Los Angeles,Employed-At Work,Employed full-time,700.0,lessHS,whites
1,76,Los Angeles,Housework,Not In Labor Force,,lessHS,whites
1,58,Los Angeles,Employed-At Work,Employed full-time,830.0,HS,whites
1,62,Los Angeles,Housework,Not In Labor Force,,HS,whites
1,39,Los Angeles,Employed-At Work,Employed full-time,,lessHS,whites
1,22,Los Angeles,Unemployed-Looking,Unemployed FT,,HS,whites
1,57,Los Angeles,Employed-At Work,Employed full-time,800.0,HS,whites
1,53,Los Angeles,Employed-At Work,Part-time For Economic Reasons,880.0,lessHS,whites
1,50,Los Angeles,Housework,Not In Labor Force,,HS,whites
1,22,Los Angeles,Employed-At Work,Employed full-time,,BA,whites
1,19,Los Angeles,Employed-Absent,Employed PT,375.0,HS,whites
1,27,Los Angeles,Employed-At Work,Employed full-time,,BA,whites
1,38,Los Angeles,Employed-At Work,Employed full-time,,BA,whites
1,36,Los Angeles,Employed-At Work,Employed PT,,BA,whites
1,61,Los Angeles,Employed-At Work,Employed PT,,HS,whites
1,66,Los Angeles,Other (Includes Retired),Not In Labor Force,,lessHS,whites
1,60,Los Angeles,Unable to work/Disabled,Not In Labor Force,,lessHS,whites
1,36,Los Angeles,Employed-At Work,Employed full-time,,HS,whites
1,31,Los Angeles,Employed-At Work,Employed full-time,650.0,BA,whites
1,28,Los Angeles,Employed-At Work,Employed PT,250.0,HS,whites
1,66,Los Angeles,Other (Includes Retired),Not In Labor Force,,HS,whites
1,21,Los Angeles,Employed-At Work,Employed full-time,290.0,lessHS,hispanics
1,23,Los Angeles,Housework,Not In Labor Force,,lessHS,hispanics
1,20,Los Angeles,Employed-At Work,Employed full-time,350.0,lessHS,hispanics
1,49,Los Angeles,Employed-At Work,Employed full-time,500.0,HS,whites
1,46,Los Angeles,Employed-At Work,Employed full-time,320.0,lessHS,whites
1,18,Los Angeles,Unemployed-Looking,Unemployed PT,,lessHS,whites
1,73,Los Angeles,Housework,Not In Labor Force,,lessHS,whites
1,55,Los Angeles,Employed-At Work,Employed full-time,577.0,HS,hispanics
1,55,Los Angeles,Housework,Not In Labor Force,,lessHS,hispanics
1,36,Los Angeles,Employed-At Work,Employed full-time,,HS,whites
1,30,Los Angeles,Employed-At Work,Employed PT,,BA,whites
1,44,Los Angeles,Employed-At Work,Employed full-time,,HS,whites
1,50,Los Angeles,Employed-At Work,Employed full-time,,BA,whites
1,37,Los Angeles,Employed-At Work,Employed full-time,,HS,whites
1,34,Los Angeles,Employed-At Work,Employed full-time,350.0,lessHS,hispanics
1,31,Los Angeles,Unemployed-Looking,Unemployed FT,,lessHS,hispanics
1,30,Los Angeles,Housework,Not In Labor Force,,HS,hispanics
1,26,Los Angeles,Employed-At Work,Employed full-time,425.0,lessHS,hispanics
1,26,Los Angeles,Housework,Not In Labor Force,,lessHS,hispanics
1,84,Los Angeles,Unable to work/Disabled,Not In Labor Force,,lessHS,hispanics
1,49,Los Angeles,Housework,Not In Labor Force,,lessHS,hispanics
1,79,Los Angeles,Unable to work/Disabled,Not In Labor Force,,lessHS,hispanics
1,60,Los Angeles,Employed-At Work,Employed full-time,,HS,whites
1,47,Los Angeles,Employed-At Work,Employed full-time,,HS,whites
1,30,Los Angeles,Employed-At Work,Employed full-time,,BA,whites
1,31,Los Angeles,Housework,Not In Labor Force,,BA,whites
1,76,Los Angeles,Other (Includes Retired),Not In Labor Force,,lessHS,whites
1,73,Los Angeles,Housework,Not In Labor Force,,lessHS,whites
1,70,Los Angeles,Other (Includes Retired),Not In Labor Force,,lessHS,others
1,52,Los Angeles,Employed-At Work,Employed full-time,,HS,whites
1,63,Los Angeles,Employed-At Work,Employed full-time,,HS,whites
1,56,Los Angeles,Employed-At Work,Employed full-time,,HS,whites
1,31,Los Angeles,Employed-At Work,Employed full-time,,BA,whites
1,44,Los Angeles,Employed-At Work,Employed full-time,,HS,whites
1,44,Los Angeles,Employed-At Work,Employed full-time,425.0,HS,whites
1,17,Los Angeles,School,Not In Labor Force,,lessHS,whites
1,42,Los Angeles,Employed-At Work,Employed full-time,226.0,HS,hispanics
1,36,Los Angeles,Housework,Not In Labor Force,,HS,whites
1,56,Los Angeles,Employed-At Work,Employed full-time,,HS,whites
1,48,Los Angeles,Employed-At Work,Employed PT,,HS,whites
1,24,Los Angeles,School,Not In Labor Force,,HS,whites
1,27,Los Angeles,Employed-At Work,Employed full-time,630.0,HS,whites
1,26,Los Angeles,Employed-At Work,Employed full-time,567.0,HS,hispanics
1,57,Los Angeles,Employed-At Work,Employed full-time,,BA,whites
1,22,Los Angeles,Employed-At Work,Employed full-time,625.0,HS,whites
1,18,Los Angeles,School,Not In Labor Force,,HS,whites
1,48,Los Angeles,Employed-At Work,Employed full-time,475.0,HS,whites
1,21,Los Angeles,Employed-At Work,Employed PT,300.0,HS,whites
1,16,Los Angeles,School,Not In Labor Force,,lessHS,whites
1,77,Los Angeles,Housework,Not In Labor Force,,lessHS,whites
1,34,Los Angeles,Employed-At Work,Employed full-time,950.0,HS,whites
1,32,Los Angeles,Housework,Not In Labor Force,,HS,whites
1,79,Los Angeles,Other (Includes Retired),Not In Labor Force,,lessHS,whites
1,74,Los Angeles,Housework,Not In Labor Force,,BA,whites
1,39,Los Angeles,Employed-At Work,Employed full-time,1200.0,lessHS,hispanics
1,38,Los Angeles,Housework,Not In Labor Force,,lessHS,hispanics
1,17,Los Angeles,School,Not In Labor Force,,lessHS,hispanics
1,16,Los Angeles,School,Not In Labor Force,,lessHS,hispanics
1,36,Los Angeles,Employed-At Work,Employed full-time,,HS,hispanics
1,60,Los Angeles,Other (Includes Retired),Not In Labor Force,,HS,hispanics
1,60,Los Angeles,Housework,Not In Labor Force,,HS,hispanics
1,36,Los Angeles,Employed-At Work,Employed full-time,1000.0,HS,hispanics
1,35,Los Angeles,Employed-At Work,Employed full-time,679.0,HS,hispanics
1,33,Los Angeles,Housework,Not In Labor Force,,lessHS,hispanics
1,77,Los Angeles,Other (Includes Retired),Not In Labor Force,,lessHS,hispanics
1,33,Los Angeles,Employed-At Work,Employed full-time,550.0,lessHS,hispanics
1,31,Los Angeles,Employed-At Work,Employed full-time,360.0,lessHS,hispanics
1,23,Los Angeles,Housework,Not In Labor Force,,HS,others
1,37,Los Angeles,Employed-At Work,Employed full-time,615.0,lessHS,hispanics
1,19,Los Angeles,Employed-At Work,Employed full-time,290.0,HS,hispanics
1,35,Los Angeles,Employed-At Work,Employed full-time,,HS,whites
1,72,Los Angeles,Unable to work/Disabled,Not In Labor Force,,lessHS,whites
1,43,Los Angeles,Employed-At Work,Employed PT,295.0,HS,whites
1,16,Los Angeles,School,Not In Labor Force,,lessHS,whites
1,50,Los Angeles,Employed-At Work,Employed full-time,,HS,whites
1,53,Los Angeles,Unemployed-Looking,Unemployed FT,,HS,whites
1,21,Los Angeles,Employed-At Work,Employed full-time,375.0,HS,whites
1,25,Los Angeles,Employed-At Work,Employed full-time,725.0,HS,hispanics
1,24,Los Angeles,Employed-At Work,Employed PT,310.0,HS,hispanics
1,90,Los Angeles,Other (Includes Retired),Not In Labor Force,,HS,whites
1,25,Los Angeles,Employed-At Work,Employed full-time,600.0,HS,whites
1,22,Los Angeles,Housework,Not In Labor Force,,HS,whites
1,42,Los Angeles,Employed-At Work,Employed full-time,,BA,whites
1,18,Los Angeles,Employed-At Work,Employed full-time,365.0,HS,whites
1,24,Los Angeles,Employed-At Work,Employed full-time,410.0,HS,hispanics
1,26,Los Angeles,Employed-At Work,Employed full-time,275.0,HS,hispanics
1,26,Los Angeles,Employed-At Work,Employed full-time,,HS,hispanics
1,23,Los Angeles,Employed-At Work,Employed full-time,295.0,HS,hispanics
1,57,Los Angeles,Employed-At Work,Employed full-time,,HS,whites
1,57,Los Angeles,Employed-At Work,Employed full-time,,HS,whites
1,54,Los Angeles,Employed-At Work,Employed full-time,,HS,whites
1,51,Los Angeles,Employed-At Work,Employed full-time,,HS,whites
1,71,Los Angeles,Employed-At Work,Employed PT,,BA,whites
1,61,Los Angeles,Employed-At Work,Employed full-time,,BA,whites
1,43,Los Angeles,Employed-At Work,Employed full-time,,BA,whites
1,44,Los Angeles,Employed-At Work,Employed full-time,,BA,whites
1,77,Los Angeles,Other (Includes Retired),Not In Labor Force,,lessHS,whites
1,33,Los Angeles,Employed-Absent,Employed PT,,HS,whites
1,28,Los Angeles,Employed-At Work,Employed full-time,840.0,HS,hispanics
1,27,Los Angeles,Employed-At Work,Employed full-time,705.0,HS,hispanics
1,41,Los Angeles,Employed-At Work,Employed full-time,,HS,hispanics
1,37,Los Angeles,Employed-At Work,Employed PT,350.0,lessHS,hispanics
1,58,Los Angeles,Unemployed-Looking,Unemployed FT,,BA,whites
1,17,Los Angeles,School,Not In Labor Force,,lessHS,whites
1,16,Los Angeles,School,Not In Labor Force,,lessHS,whites
1,51,Los Angeles,Employed-At Work,Employed full-time,,BA,whites
1,16,Los Angeles,Employed-At Work,Employed PT,300.0,lessHS,whites
1,19,Los Angeles,Employed-At Work,Employed full-time,817.0,HS,whites
1,67,Los Angeles,Employed-At Work,Employed full-time,450.0,lessHS,whites
1,81,Los Angeles,Unable to work/Disabled,Not In Labor Force,,BA,others
1,75,Los Angeles,Housework,Not In Labor Force,,lessHS,others
1,23,Los Angeles,Employed-At Work,Employed full-time,,HS,whites
1,20,Los Angeles,Housework,Not In Labor Force,,HS,whites
1,51,Los Angeles,Employed-At Work,Employed full-time,,HS,whites
1,54,Los Angeles,Employed-At Work,Employed full-time,,HS,hispanics
1,51,Los Angeles,Employed-At Work,Employed PT,358.0,lessHS,hispanics
1,28,Los Angeles,Employed-At Work,Employed full-time,450.0,HS,hispanics
1,16,Los Angeles,School,Not In Labor Force,,lessHS,hispanics
1,47,Los Angeles,Employed-At Work,Employed full-time,,HS,hispanics
1,43,Los Angeles,Employed-At Work,Employed full-time,,HS,hispanics
1,24,Los Angeles,Employed-At Work,Employed full-time,,BA,hispanics
1,18,Los Angeles,Employed-At Work,Employed PT,381.0,HS,hispanics
1,26,Los Angeles,Employed-At Work,Employed full-time,375.0,HS,blacks
1,31,Los Angeles,Employed-At Work,Employed full-time,650.0,HS,blacks
1,29,Los Angeles,Employed-At Work,Employed full-time,,BA,blacks
1,30,Los Angeles,Employed-At Work,Employed full-time,450.0,HS,blacks
1,22,Los Angeles,Unemployed-Looking,Unemployed PT,,HS,blacks
1,22,Los Angeles,Employed-At Work,Employed full-time,300.0,BA,blacks
1,71,Los Angeles,Employed-At Work,Employed full-time,,HS,whites
1,79,Los Angeles,Other (Includes Retired),Not In Labor Force,,HS,whites
1,26,Los Angeles,Employed-At Work,Employed full-time,,BA,whites
1,35,Los Angeles,Employed-At Work,Employed full-time,,BA,whites
1,34,Los Angeles,Employed-At Work,Employed full-time,,HS,whites
1,80,Los Angeles,Housework,Not In Labor Force,,lessHS,whites
1,80,Los Angeles,Housework,Not In Labor Force,,BA,whites
1,67,Los Angeles,Unable to work/Disabled,Not In Labor Force,,HS,whites
1,27,Los Angeles,Employed-At Work,Employed full-time,500.0,HS,hispanics
1,78,Los Angeles,Housework,Not In Labor Force,,HS,hispanics
1,58,Los Angeles,Housework,Not In Labor Force,,lessHS,whites
1,81,Los Angeles,Other (Includes Retired),Not In Labor Force,,lessHS,whites
1,67,Los Angeles,Employed-At Work,Employed PT,300.0,HS,hispanics
1,67,Los Angeles,Unable to work/Disabled,Not In Labor Force,,HS,whites
1,69,Los Angeles,Housework,Not In Labor Force,,HS,whites
1,20,Los Angeles,Employed-At Work,Employed full-time,459.0,HS,whites
1,39,Los Angeles,Unable to work/Disabled,Not In Labor Force,,HS,whites
1,38,Los Angeles,Housework,Not In Labor Force,,HS,whites
1,16,Los Angeles,Employed-At Work,Employed PT,265.0,lessHS,whites
1,16,Los Angeles,Employed-At Work,Employed PT,265.0,lessHS,whites
1,57,Los Angeles,Employed-At Work,Employed full-time,,HS,whites
1,24,Los Angeles,Employed-At Work,Employed full-time,465.0,BA,whites
1,60,Los Angeles,Employed-At Work,Employed full-time,965.0,HS,whites
1,57,Los Angeles,Housework,Not In Labor Force,,HS,whites
1,31,Los Angeles,Employed-At Work,Employed full-time,,HS,hispanics
1,49,Los Angeles,Employed-At Work,Employed full-time,,HS,hispanics
1,34,Los Angeles,Employed-At Work,Employed full-time,,HS,whites
1,33,Los Angeles,Employed-At Work,Employed full-time,,HS,whites
1,36,Los Angeles,Employed-At Work,Employed full-time,,HS,whites
1,30,Los Angeles,Employed-At Work,Employed full-time,,BA,whites
1,22,Los Angeles,Employed-At Work,Employed full-time,523.0,HS,others
1,23,Los Angeles,Employed-Absent,Employed full-time,,HS,others
1,53,Los Angeles,Employed-At Work,Employed full-time,,HS,whites
1,51,Los Angeles,Unemployed-Looking,Unemployed FT,,lessHS,whites
1,37,Los Angeles,Housework,Not In Labor Force,,lessHS,whites
1,52,Los Angeles,Employed-At Work,Employed full-time,,HS,whites
1,70,Los Angeles,Housework,Not In Labor Force,,lessHS,whites
1,29,Los Angeles,Employed-At Work,Employed full-time,,HS,whites
1,25,Los Angeles,Employed-At Work,Employed PT,,HS,whites
1,31,Los Angeles,Employed-At Work,Employed full-time,,BA,whites
1,22,Los Angeles,Employed-At Work,Employed PT,400.0,HS,whites
1,21,Los Angeles,Employed-At Work,Employed full-time,,HS,whites
1,24,Los Angeles,Employed-At Work,Employed full-time,,HS,hispanics
1,57,Los Angeles,Employed-At Work,Employed full-time,715.0,lessHS,hispanics
1,41,Los Angeles,Housework,Not In Labor Force,,lessHS,hispanics
1,23,Los Angeles,Employed-At Work,Employed full-time,715.0,lessHS,hispanics
1,27,Los Angeles,School,Not In Labor Force,,BA,whites
1,57,Los Angeles,Other (Includes Retired),Not In Labor Force,,HS,whites
1,31,Los Angeles,Employed-At Work,Employed full-time,1000.0,BA,whites
1,32,Los Angeles,Housework,Not In Labor Force,,HS,whites
1,27,Los Angeles,Employed-At Work,Employed full-time,,HS,whites
1,26,Los Angeles,Employed-At Work,Employed full-time,,BA,whites
1,59,Los Angeles,Unable to work/Disabled,Not In Labor Force,,lessHS,blacks
1,34,Los Angeles,Employed-At Work,Employed full-time,427.0,HS,whites
1,32,Los Angeles,Employed-At Work,Employed full-time,735.0,HS,others
1,61,Los Angeles,Employed-At Work,Employed full-time,,HS,whites
1,51,Los Angeles,Employed-At Work,Employed full-time,,lessHS,whites
1,56,Los Angeles,Employed-At Work,Employed full-time,475.0,HS,whites
1,19,Los Angeles,Other (Includes Retired),Not In Labor Force,,HS,whites
1,21,Los Angeles,School,Not In Labor Force,,HS,others
1,20,Los Angeles,School,Not In Labor Force,,HS,others
1,25,Los Angeles,Employed-At Work,Employed full-time,,BA,whites
1,24,Los Angeles,Employed-At Work,Employed full-time,450.0,BA,whites
1,22,Los Angeles,Employed-At Work,Employed full-time,,BA,whites
1,26,Los Angeles,Employed-At Work,Employed full-time,812.0,HS,whites
1,25,Los Angeles,Employed-At Work,Employed full-time,400.0,BA,whites
1,56,Los Angeles,Housework,Not In Labor Force,,lessHS,blacks
1,22,Los Angeles,Housework,Not In Labor Force,,HS,blacks
1,21,Los Angeles,Housework,Not In Labor Force,,HS,blacks
1,24,Los Angeles,Housework,Not In Labor Force,,HS,blacks
1,53,Los Angeles,Housework,Not In Labor Force,,HS,blacks
1,29,Los Angeles,Employed-At Work,Employed full-time,490.0,HS,blacks
1,39,Los Angeles,Unable to work/Disabled,Not In Labor Force,,lessHS,blacks
1,36,Los Angeles,Unable to work/Disabled,Not In Labor Force,,HS,blacks
1,26,Los Angeles,Employed-At Work,Employed full-time,330.0,lessHS,hispanics
1,27,Los Angeles,Employed-At Work,Employed full-time,305.0,lessHS,hispanics
1,34,Los Angeles,Other (Includes Retired),Not In Labor Force,,lessHS,hispanics
1,25,Los Angeles,Housework,Not In Labor Force,,lessHS,hispanics
1,54,Los Angeles,Employed-At Work,Employed full-time,300.0,lessHS,hispanics
1,36,Los Angeles,Employed-At Work,Employed full-time,300.0,lessHS,hispanics
1,19,Los Angeles,Employed-At Work,Employed full-time,300.0,lessHS,hispanics
1,30,Los Angeles,Employed-At Work,Employed full-time,300.0,lessHS,hispanics
1,55,Los Angeles,Housework,Not In Labor Force,,lessHS,hispanics
1,44,Los Angeles,Employed-At Work,Employed full-time,325.0,lessHS,hispanics
1,40,Los Angeles,Housework,Not In Labor Force,,lessHS,hispanics
1,21,Los Angeles,Unemployed-Looking,Unemployed FT,,lessHS,hispanics
1,19,Los Angeles,Employed-At Work,Employed full-time,300.0,lessHS,hispanics
1,16,Los Angeles,Employed-At Work,Employed full-time,265.0,lessHS,hispanics
1,65,Los Angeles,Employed-At Work,Employed PT,350.0,lessHS,whites
1,40,Los Angeles,Employed-At Work,Employed full-time,290.0,HS,others
1,30,Los Angeles,Employed-At Work,Employed full-time,,BA,whites
1,26,Los Angeles,Employed-At Work,Employed full-time,,BA,whites
1,35,Los Angeles,Employed-At Work,Employed full-time,,HS,whites
1,63,Los Angeles,Employed-At Work,Employed PT,350.0,HS,whites
1,65,Los Angeles,Housework,Not In Labor Force,,lessHS,whites
1,72,Los Angeles,Other (Includes Retired),Not In Labor Force,,BA,whites
1,73,Los Angeles,Other (Includes Retired),Not In Labor Force,,lessHS,others
1,69,Los Angeles,Housework,Not In Labor Force,,lessHS,others
1,88,Los Angeles,Housework,Not In Labor Force,,lessHS,hispanics
1,57,Los Angeles,Employed-At Work,Employed full-time,,BA,hispanics
1,50,Los Angeles,Employed-At Work,Employed full-time,,HS,others
1,49,Los Angeles,Housework,Not In Labor Force,,HS,others
1,26,Los Angeles,Employed-At Work,Employed full-time,340.0,BA,others
1,53,Los Angeles,Employed-Absent,Employed PT,385.0,HS,hispanics
1,24,Los Angeles,Employed-At Work,Employed PT,435.0,HS,hispanics
1,57,Los Angeles,Employed-At Work,Employed full-time,290.0,lessHS,whites
1,59,Los Angeles,Employed-At Work,Employed full-time,325.0,lessHS,whites
1,30,Los Angeles,Unemployed-Looking,Unemployed FT,,lessHS,whites
1,25,Los Angeles,Employed-At Work,Employed full-time,900.0,HS,whites
1,22,Los Angeles,Employed-Absent,Employed full-time,,HS,whites
1,57,Los Angeles,Employed-At Work,Employed full-time,815.0,lessHS,whites
1,54,Los Angeles,Housework,Not In Labor Force,,HS,whites
1,20,Los Angeles,Employed-At Work,Employed full-time,400.0,HS,whites
1,17,Los Angeles,School,Not In Labor Force,,lessHS,whites
1,57,Los Angeles,Employed-At Work,Employed full-time,,HS,whites
1,62,Los Angeles,Housework,Not In Labor Force,,lessHS,whites
1,50,Los Angeles,Employed-At Work,Employed full-time,375.0,lessHS,blacks
1,29,Los Angeles,Employed-At Work,Employed full-time,400.0,HS,blacks
1,16,Los Angeles,School,Not In Labor Force,,lessHS,blacks
1,74,Los Angeles,Housework,Not In Labor Force,,HS,others
1,76,Los Angeles,Unable to work/Disabled,Not In Labor Force,,HS,others
1,42,Los Angeles,Unable to work/Disabled,Not In Labor Force,,lessHS,blacks
1,45,Los Angeles,Employed-At Work,Employed full-time,,HS,blacks
1,18,Los Angeles,Employed-At Work,Employed full-time,350.0,HS,blacks
1,23,Los Angeles,School,Not In Labor Force,,HS,blacks
1,34,Los Angeles,Employed-At Work,Employed full-time,,HS,blacks
1,69,Los Angeles,Other (Includes Retired),Not In Labor Force,,lessHS,blacks
1,16,Los Angeles,School,Not In Labor Force,,lessHS,blacks
1,27,Los Angeles,Employed-At Work,Employed full-time,1177.0,HS,whites
1,24,Los Angeles,Housework,Not In Labor Force,,HS,whites
1,45,Los Angeles,Employed-At Work,Employed full-time,930.0,lessHS,whites
1,43,Los Angeles,Employed-At Work,Employed PT,250.0,lessHS,whites
1,79,Los Angeles,Other (Includes Retired),Not In Labor Force,,lessHS,whites
1,37,Los Angeles,Employed-At Work,Employed full-time,450.0,HS,whites
1,16,Los Angeles,Unemployed-Looking,Unemployed PT,,lessHS,whites
1,37,Los Angeles,Employed-At Work,Employed full-time,900.0,HS,whites
1,29,Los Angeles,Housework,Not In Labor Force,,HS,others
1,30,Los Angeles,Employed-At Work,Employed full-time,,BA,whites
1,26,Los Angeles,Housework,Not In Labor Force,,HS,whites
1,64,Los Angeles,Other (Includes Retired),Not In Labor Force,,HS,whites
1,46,Los Angeles,Employed-At Work,Employed full-time,,BA,whites
1,46,Los Angeles,Housework,Not In Labor Force,,BA,whites
1,62,Los Angeles,Employed-At Work,Employed full-time,,BA,whites
1,60,Los Angeles,Housework,Not In Labor Force,,HS,whites
1,53,Los Angeles,Employed-At Work,Employed full-time,,BA,whites
1,48,Los Angeles,Employed-Absent,Employed PT,,HS,whites
1,22,Los Angeles,School,Not In Labor Force,,BA,whites
1,31,Los Angeles,Employed-Absent,Employed PT,1397.0,HS,whites
1,40,Los Angeles,Employed-At Work,Employed full-time,,BA,whites
1,32,Los Angeles,Housework,Not In Labor Force,,HS,whites
1,30,Los Angeles,Employed-At Work,Employed full-time,,HS,whites
1,39,Los Angeles,Employed-At Work,Employed PT,,BA,whites
1,33,Los Angeles,Employed-At Work,Employed full-time,,BA,whites
1,38,Los Angeles,Employed-At Work,Employed full-time,435.0,lessHS,hispanics
1,31,Los Angeles,Housework,Not In Labor Force,,lessHS,hispanics
1,31,Los Angeles,Employed-At Work,Employed full-time,375.0,lessHS,hispanics
1,20,Los Angeles,Housework,Not In Labor Force,,lessHS,hispanics
1,29,Los Angeles,Employed-At Work,Employed full-time,435.0,lessHS,hispanics
1,27,Los Angeles,Housework,Not In Labor Force,,lessHS,hispanics
1,44,Los Angeles,Employed-At Work,Employed full-time,725.0,lessHS,hispanics
1,44,Los Angeles,Employed-At Work,Employed full-time,400.0,lessHS,hispanics
1,18,Los Angeles,Employed-At Work,Employed full-time,325.0,lessHS,hispanics
1,22,Los Angeles,Housework,Not In Labor Force,,HS,hispanics
1,26,Los Angeles,Employed-At Work,Employed full-time,850.0,HS,whites
1,25,Los Angeles,Employed-At Work,Employed full-time,,HS,whites
1,25,Los Angeles,Housework,Not In Labor Force,,HS,whites
1,28,Los Angeles,Employed-At Work,Employed full-time,,HS,others
1,65,Los Angeles,Housework,Not In Labor Force,,HS,others
1,35,Los Angeles,Unable to work/Disabled,Not In Labor Force,,lessHS,whites
1,70,Los Angeles,Housework,Not In Labor Force,,lessHS,hispanics
1,35,Los Angeles,Employed-At Work,Employed full-time,,BA,whites
1,36,Los Angeles,Employed-At Work,Employed full-time,,BA,whites
1,77,Los Angeles,Housework,Not In Labor Force,,HS,whites
1,92,Los Angeles,Other (Includes Retired),Not In Labor Force,,lessHS,whites
1,86,Los Angeles,Housework,Not In Labor Force,,lessHS,whites
1,54,Los Angeles,Employed-At Work,Employed full-time,805.0,HS,whites
1,52,Los Angeles,Employed-At Work,Employed PT,,lessHS,whites
1,54,Los Angeles,Employed-At Work,Employed full-time,,HS,others
1,51,Los Angeles,Employed-At Work,Employed full-time,,HS,others
1,27,Los Angeles,Employed-At Work,Employed full-time,500.0,HS,others
1,49,Los Angeles,Employed-At Work,Part-time For Economic Reasons,100.0,lessHS,hispanics
1,44,Los Angeles,Employed-At Work,Employed full-time,560.0,lessHS,hispanics
1,19,Los Angeles,Employed-At Work,Employed full-time,310.0,HS,hispanics
1,61,Los Angeles,Employed-At Work,Employed full-time,,HS,whites
1,55,Los Angeles,Employed-Absent,Employed PT,,HS,whites
1,20,Los Angeles,Unemployed-Looking,Unemployed PT,,HS,whites
1,40,Los Angeles,Employed-At Work,Employed full-time,,HS,whites
1,37,Los Angeles,Employed-Absent,Employed PT,300.0,HS,whites
1,63,Los Angeles,Employed-At Work,Employed full-time,,lessHS,whites
1,74,Los Angeles,Housework,Not In Labor Force,,HS,whites
1,58,Los Angeles,Employed-At Work,Employed full-time,700.0,HS,whites
1,27,Los Angeles,Employed-At Work,Employed full-time,405.0,lessHS,others
1,27,Los Angeles,Employed-At Work,Employed full-time,350.0,lessHS,others
1,25,Los Angeles,Housework,Not In Labor Force,,lessHS,others
1,56,Los Angeles,Employed-At Work,Employed full-time,350.0,lessHS,whites
1,75,Los Angeles,Other (Includes Retired),Not In Labor Force,,HS,whites
1,46,Los Angeles,Employed-At Work,Employed full-time,860.0,HS,whites
1,40,Los Angeles,Housework,Not In Labor Force,,lessHS,whites
1,21,Los Angeles,Employed-At Work,Employed full-time,290.0,HS,whites
1,38,Los Angeles,Employed-At Work,Employed full-time,800.0,HS,whites
1,39,Los Angeles,Housework,Not In Labor Force,,HS,whites
1,31,Los Angeles,Employed-At Work,Employed full-time,525.0,lessHS,whites
1,26,Los Angeles,Employed-At Work,Employed full-time,550.0,HS,whites
1,38,Los Angeles,Employed-Absent,Employed full-time,,BA,whites
1,38,Los Angeles,Employed-At Work,Employed full-time,,lessHS,whites
1,16,Los Angeles,Employed-At Work,Employed PT,300.0,lessHS,whites
1,25,Los Angeles,Employed-At Work,Employed full-time,575.0,HS,whites
1,24,Los Angeles,Employed-At Work,Employed PT,380.0,HS,whites
1,55,Los Angeles,Employed-At Work,Employed full-time,,HS,whites
1,55,Los Angeles,Employed-At Work,Employed full-time,540.0,lessHS,whites
1,31,Los Angeles,Employed-At Work,Employed full-time,961.0,HS,whites
